text,label,
"Problem
Edge runs on a distributed environment, which consists of different source of information.",current,
Different modules run on different VMs and each of them provides different data for the same client.,current,
Sometimes we spend hours to be able to respond to a simple question.,current,
We need to simplify inspection process to reduce response times.,purpose,
Proposed Solution,none,
There are many lines of logs are produced for a single client starting from assigning an IP to disconnect.,current,
Some of the logs are less important and some of them plays the key role.,current,
"First of all, we need to summarise logs written to produce less and meaningful output.",functional,
There will be several components in this solution:,overview,
Resource Viewer,none,
"There will be an agent module on each server, which will periodically (crontab) monitor system resources (RAM, CPU, HDD, average load).",functional,
"Agent will save output to a set in redis, sorted by timestamp.",functional,
It will also remove members older than a specified date (keep only last X hours for example).,functional,
Resource usage will be held in this format: NUM_CPU|CPU_1|CPU_2|..|CPU_N|TOTAL_RAM|USED_RAM|TOTAL_SWAP|USED_SWAP|TOTAL_HDD|USED_HDD|LOAD_AVG,functional,
RAM and HDD usages will be in MB.,functional,
We can use psutil to get system information.,nonfunctional,
Sets will be held in Redis in this format: m_<hostname>,nonfunctional,
"Each set name will be in another set named ""resource_viewer""",nonfunctional,
"When requested, support tool will fetch keys from ""resource_viewer"" (where each key corresponds to a server), and for each server it will get outputs saved to Redis.",case,
Parsing will be done when data is read from Redis.,functional,
Log Producer,none,
"There will be a code piece or a small agent for every module, which will get meaningful logs and send them to log combiner.",functional,
Getting logs can be done in two ways:,overview,
Embedding a generic function into applications.,overview,
Continuously watch for a special pattern in logs.,overview,
"Either way, when desired log is generated, it needs to be sent to log combiner.",case,
Logs will be generated in following formats from applications:,overview,
EVENT=IP|IP=192.168.1.1|MAC=aa:bb:cc:dd:ee:ff|AP=ap_name_1|SSID=Faraday,criteria,
EVENT=PAGE_VIEW|IP=192.168.1.1|MAC=aa:bb:cc:dd:ee:ff|PAGE=/login,criteria,
EVENT=OTP_ENTER|GSM=+15410000000|CODE=234232,criteria,
EVENT=SURVEY_VIEW|IP=192.168.1.1|SURVEY_ID=2323,criteria,
Parsing log messages and associating them with each other will be Log Combiner's responsibility.,nonfunctional,
"We can use Fluentd for log generation, it supports integration with Kafka.",functional,
"Log Combiner
Combiner will be have to process thousands of logs per second.",nonfunctional,
"Because of that, using a message queue with this component is highly recommended.",nonfunctional,
Log messages should be sent to message queue and combiner will gather messages for the same client.,functional,
Logs must be displayed by groups.,functional,
Each group must represent one separate session.,functional,
"Every session will have attributes, including, but not limited to:",functional,
"SID
IP address
GSM no
E-mail
MAC
AP MAC
SSID
User-Agent
First seen
Session start
Session end
Logs
Session identification must be done according to a unique value (SID).",criteria,
SID will be unique for every session of a client.,functional,
It will be generated and assigned to session automatically when user gets an IP address.,functional,
"For every SESSION_START event, multi-session-id of session will be used for SID.",functional,
"For every SESSION_REUSE event, reused multi-session-id will be written to SID value, and already generated logs will be moved to resumed session.",functional,
Using ElasticSearch for storing/searching is highly recommended.,nonfunctional,
Each group can represent a separate document.,current,
"If we use ElasticSearch, sample schema will be like this:",case,
"{
    ""sid"": ""String"",
    ""ip_address"": ""String"",
    ""gsm_no"": ""String"",
    ""email"": ""String"",
    ""mac"": ""String"",
    ""ap_mac"": ""String"",
    ""ssid"": ""String"",
    ""user_agent"": ""String"",
    ""first_seen"": date,
    ""session_start"": date,
    ""session_end"": date,
    ""logs"": array
}",case,
Log Viewer,none,
